month,arr_millions,mrr_millions,churn_pct,gross_burn_millions,cash_balance_millions,headcount,nrr_pct,notes
2025-01,18.0,1.50,1.8,1.20,22.0,142,116,baseline
2025-02,18.7,1.56,1.7,1.22,21.2,145,116,baseline
2025-03,19.4,1.62,1.8,1.24,20.5,148,115,baseline
2025-04,20.2,1.68,1.9,1.25,19.9,151,115,baseline
2025-05,21.0,1.75,1.8,1.27,19.1,154,114,baseline
2025-06,21.9,1.83,1.7,1.28,18.5,158,114,baseline
2025-07,22.9,1.91,1.8,1.30,17.8,161,113,baseline
2025-08,23.8,1.98,1.9,1.32,17.0,164,113,baseline
2025-09,24.9,2.08,1.8,1.34,16.4,168,112,baseline
2025-10,25.9,2.16,1.7,1.36,15.9,171,112,baseline
2025-11,27.0,2.25,1.8,1.38,15.3,174,111,baseline
2025-12,28.2,2.35,1.8,1.40,14.7,178,111,baseline
2026-01,29.1,2.43,1.9,1.43,14.0,181,110,baseline
2026-02,30.0,2.50,2.0,1.46,13.2,184,109,baseline
2026-03,30.9,2.58,2.1,1.50,12.4,187,108,baseline
2026-04,30.4,2.53,2.4,1.56,11.6,189,106,revenue restatement lowers recognized ARR
2026-05,31.0,2.58,2.5,1.62,10.7,191,105,post-restatement recovery
2026-06,31.4,2.62,2.8,1.70,9.6,193,103,slowing expansion
2026-07,31.6,2.63,3.2,1.95,7.4,194,99,genuine covenant breach
2026-08,33.0,2.75,3.0,1.84,8.3,193,101,remediation begins
2026-09,33.0,2.75,2.7,1.70,8.1,192,104,remediation continues
2026-10,34.0,2.83,2.5,1.62,8.6,190,106,recovery
2026-11,35.2,2.93,2.3,1.55,9.4,188,108,recovery
2026-12,36.5,3.04,2.1,1.50,10.2,187,110,ambiguous committed pilot expansion edge case
